,v_no,village,t_no,town,d_no,district,c_no,city
99,220,九连,659003510,兵团五十团,659003,图木舒克市,6590,自治区直辖县级行政区划
100,220,十二连,659003510,兵团五十团,659003,图木舒克市,6590,自治区直辖县级行政区划
101,220,十三连,659003510,兵团五十团,659003,图木舒克市,6590,自治区直辖县级行政区划
102,220,十六连,659003510,兵团五十团,659003,图木舒克市,6590,自治区直辖县级行政区划
103,220,十七连,659003510,兵团五十团,659003,图木舒克市,6590,自治区直辖县级行政区划
104,123,二十连,659003510,兵团五十团,659003,图木舒克市,6590,自治区直辖县级行政区划
105,220,农一队,659003510,兵团五十团,659003,图木舒克市,6590,自治区直辖县级行政区划
106,220,农二队,659003510,兵团五十团,659003,图木舒克市,6590,自治区直辖县级行政区划
107,220,农三队,659003510,兵团五十团,659003,图木舒克市,6590,自治区直辖县级行政区划
108,220,农四队,659003510,兵团五十团,659003,图木舒克市,6590,自治区直辖县级行政区划
109,123,五连,659003510,兵团五十团,659003,图木舒克市,6590,自治区直辖县级行政区划
110,123,十连,659003510,兵团五十团,659003,图木舒克市,6590,自治区直辖县级行政区划
111,123,十一连,659003510,兵团五十团,659003,图木舒克市,6590,自治区直辖县级行政区划
112,123,十四连,659003510,兵团五十团,659003,图木舒克市,6590,自治区直辖县级行政区划
113,123,十五连,659003510,兵团五十团,659003,图木舒克市,6590,自治区直辖县级行政区划
114,123,十八连,659003510,兵团五十团,659003,图木舒克市,6590,自治区直辖县级行政区划
115,123,机一连,659003510,兵团五十团,659003,图木舒克市,6590,自治区直辖县级行政区划
116,123,机二连,659003510,兵团五十团,659003,图木舒克市,6590,自治区直辖县级行政区划
117,123,团部,659003509,兵团四十九团,659003,图木舒克市,6590,自治区直辖县级行政区划
118,220,一连,659003509,兵团四十九团,659003,图木舒克市,6590,自治区直辖县级行政区划
119,220,二连,659003509,兵团四十九团,659003,图木舒克市,6590,自治区直辖县级行政区划
120,220,三连,659003509,兵团四十九团,659003,图木舒克市,6590,自治区直辖县级行政区划
121,220,四连,659003509,兵团四十九团,659003,图木舒克市,6590,自治区直辖县级行政区划
122,220,六连,659003509,兵团四十九团,659003,图木舒克市,6590,自治区直辖县级行政区划
123,220,七连,659003509,兵团四十九团,659003,图木舒克市,6590,自治区直辖县级行政区划
124,220,八连,659003509,兵团四十九团,659003,图木舒克市,6590,自治区直辖县级行政区划
125,220,九连,659003509,兵团四十九团,659003,图木舒克市,6590,自治区直辖县级行政区划
126,220,十连,659003509,兵团四十九团,659003,图木舒克市,6590,自治区直辖县级行政区划
127,220,十一连,659003509,兵团四十九团,659003,图木舒克市,6590,自治区直辖县级行政区划
128,123,十二连,659003509,兵团四十九团,659003,图木舒克市,6590,自治区直辖县级行政区划
129,220,十三连,659003509,兵团四十九团,659003,图木舒克市,6590,自治区直辖县级行政区划
130,123,十四连,659003509,兵团四十九团,659003,图木舒克市,6590,自治区直辖县级行政区划
131,220,十五连,659003509,兵团四十九团,659003,图木舒克市,6590,自治区直辖县级行政区划
132,220,十六连,659003509,兵团四十九团,659003,图木舒克市,6590,自治区直辖县级行政区划
133,220,十八连,659003509,兵团四十九团,659003,图木舒克市,6590,自治区直辖县级行政区划
134,220,二十连,659003509,兵团四十九团,659003,图木舒克市,6590,自治区直辖县级行政区划
135,220,二十一连,659003509,兵团四十九团,659003,图木舒克市,6590,自治区直辖县级行政区划
136,123,园林站生活区,659003509,兵团四十九团,659003,图木舒克市,6590,自治区直辖县级行政区划
137,122,四十九机务二站生活区,659003509,兵团四十九团,659003,图木舒克市,6590,自治区直辖县级行政区划
138,220,青年连,659003509,兵团四十九团,659003,图木舒克市,6590,自治区直辖县级行政区划
139,220,十九连,659003509,兵团四十九团,659003,图木舒克市,6590,自治区直辖县级行政区划
140,111,团部,659003504,兵团四十四团,659003,图木舒克市,6590,自治区直辖县级行政区划
141,220,一连,659003504,兵团四十四团,659003,图木舒克市,6590,自治区直辖县级行政区划
142,112,二连,659003504,兵团四十四团,659003,图木舒克市,6590,自治区直辖县级行政区划
143,220,三连,659003504,兵团四十四团,659003,图木舒克市,6590,自治区直辖县级行政区划
144,112,四连,659003504,兵团四十四团,659003,图木舒克市,6590,自治区直辖县级行政区划
145,220,五连,659003504,兵团四十四团,659003,图木舒克市,6590,自治区直辖县级行政区划
146,220,六连,659003504,兵团四十四团,659003,图木舒克市,6590,自治区直辖县级行政区划
147,220,七连,659003504,兵团四十四团,659003,图木舒克市,6590,自治区直辖县级行政区划
148,220,八连,659003504,兵团四十四团,659003,图木舒克市,6590,自治区直辖县级行政区划
149,220,九连,659003504,兵团四十四团,659003,图木舒克市,6590,自治区直辖县级行政区划
150,220,十连,659003504,兵团四十四团,659003,图木舒克市,6590,自治区直辖县级行政区划
151,220,十一连,659003504,兵团四十四团,659003,图木舒克市,6590,自治区直辖县级行政区划
152,220,十二连,659003504,兵团四十四团,659003,图木舒克市,6590,自治区直辖县级行政区划
153,220,十三连,659003504,兵团四十四团,659003,图木舒克市,6590,自治区直辖县级行政区划
154,220,十四连,659003504,兵团四十四团,659003,图木舒克市,6590,自治区直辖县级行政区划
155,220,十五连,659003504,兵团四十四团,659003,图木舒克市,6590,自治区直辖县级行政区划
156,220,十六连,659003504,兵团四十四团,659003,图木舒克市,6590,自治区直辖县级行政区划
157,220,十七连,659003504,兵团四十四团,659003,图木舒克市,6590,自治区直辖县级行政区划
158,220,十八连,659003504,兵团四十四团,659003,图木舒克市,6590,自治区直辖县级行政区划
159,220,十九连,659003504,兵团四十四团,659003,图木舒克市,6590,自治区直辖县级行政区划
160,220,二十连,659003504,兵团四十四团,659003,图木舒克市,6590,自治区直辖县级行政区划
161,220,值班连,659003504,兵团四十四团,659003,图木舒克市,6590,自治区直辖县级行政区划
162,220,良种连,659003504,兵团四十四团,659003,图木舒克市,6590,自治区直辖县级行政区划
163,220,原种场,659003504,兵团四十四团,659003,图木舒克市,6590,自治区直辖县级行政区划
164,220,畜牧站生活区,659003504,兵团四十四团,659003,图木舒克市,6590,自治区直辖县级行政区划
165,220,种羊场,659003504,兵团四十四团,659003,图木舒克市,6590,自治区直辖县级行政区划
166,111,社区中心,659003504,兵团四十四团,659003,图木舒克市,6590,自治区直辖县级行政区划
167,220,农一队,659003504,兵团四十四团,659003,图木舒克市,6590,自治区直辖县级行政区划
168,220,农二队,659003504,兵团四十四团,659003,图木舒克市,6590,自治区直辖县级行政区划
169,123,团部,659003501,兵团四十一团,659003,图木舒克市,6590,自治区直辖县级行政区划
170,220,一连,659003501,兵团四十一团,659003,图木舒克市,6590,自治区直辖县级行政区划
171,220,二连,659003501,兵团四十一团,659003,图木舒克市,6590,自治区直辖县级行政区划
172,220,三连,659003501,兵团四十一团,659003,图木舒克市,6590,自治区直辖县级行政区划
173,220,四连,659003501,兵团四十一团,659003,图木舒克市,6590,自治区直辖县级行政区划
174,220,五连,659003501,兵团四十一团,659003,图木舒克市,6590,自治区直辖县级行政区划
175,220,六连,659003501,兵团四十一团,659003,图木舒克市,6590,自治区直辖县级行政区划
176,220,七连,659003501,兵团四十一团,659003,图木舒克市,6590,自治区直辖县级行政区划
177,220,八连,659003501,兵团四十一团,659003,图木舒克市,6590,自治区直辖县级行政区划
178,220,九连,659003501,兵团四十一团,659003,图木舒克市,6590,自治区直辖县级行政区划
179,220,良种连,659003501,兵团四十一团,659003,图木舒克市,6590,自治区直辖县级行政区划
180,123,林畜站生活区,659003501,兵团四十一团,659003,图木舒克市,6590,自治区直辖县级行政区划
181,220,机耕连,659003501,兵团四十一团,659003,图木舒克市,6590,自治区直辖县级行政区划
182,111,虚拟社区,659003003,永安坝街道办事处,659003,图木舒克市,6590,自治区直辖县级行政区划
183,111,前海社区,659003002,前海街道办事处,659003,图木舒克市,6590,自治区直辖县级行政区划
184,111,永安坝社区,659003002,前海街道办事处,659003,图木舒克市,6590,自治区直辖县级行政区划
185,111,锦绣社区,659003001,齐干却勒街道办事处,659003,图木舒克市,6590,自治区直辖县级行政区划
186,123,团部,659002520,兵团三团,659002,阿拉尔市,6590,自治区直辖县级行政区划
187,220,一连,659002520,兵团三团,659002,阿拉尔市,6590,自治区直辖县级行政区划
188,220,二连,659002520,兵团三团,659002,阿拉尔市,6590,自治区直辖县级行政区划
189,220,三连,659002520,兵团三团,659002,阿拉尔市,6590,自治区直辖县级行政区划
190,220,四连,659002520,兵团三团,659002,阿拉尔市,6590,自治区直辖县级行政区划
191,220,五连,659002520,兵团三团,659002,阿拉尔市,6590,自治区直辖县级行政区划
192,220,六连,659002520,兵团三团,659002,阿拉尔市,6590,自治区直辖县级行政区划
193,220,七连,659002520,兵团三团,659002,阿拉尔市,6590,自治区直辖县级行政区划
194,220,八连,659002520,兵团三团,659002,阿拉尔市,6590,自治区直辖县级行政区划
195,220,九连,659002520,兵团三团,659002,阿拉尔市,6590,自治区直辖县级行政区划
196,220,十连,659002520,兵团三团,659002,阿拉尔市,6590,自治区直辖县级行政区划
197,220,十一连,659002520,兵团三团,659002,阿拉尔市,6590,自治区直辖县级行政区划
198,220,十三连,659002520,兵团三团,659002,阿拉尔市,6590,自治区直辖县级行政区划
